Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
MIA,Marlins,8.71306,8.53171,26.7494,26.7494,0.0,0.0,0.0,143.498,588.44,118.653,67.6995,62.2835,20.0362,159.623,47.4221,0.610203,4.78715,3.90635,1.15733,10.0114,2.97425,3.36601,1.25665,0.271265,0.0805894,0.19067538529634476,,0.221272,0.276569,0.71274,3.81704,666.8000000000001,4.662937062937063,619.0,4.328671328671328,2.59636,2.29637,2.59544,-0.402874,0.712098,9.16939,2.59544,0.402874,4.05054,82.9000015258789,20,NL,Eury Pérez,691587,27768,27768
DET,Tigers,9.95542,9.71777,27.6804,27.6804,0.0,0.0,0.0,156.669,656.474,140.257,76.6172,70.4878,21.1824,172.375,53.6135,1.0719,6.69762,4.04925,1.23746,9.90228,3.07988,3.21515,1.21685,0.262577,0.0816688,0.18090853840112686,,0.235267,0.295761,0.714023,3.84718,700.5,4.461783439490445,673.0,4.286624203821656,2.59175,1.99276,2.67644,-0.80125,1.02819,11.6425,2.67644,0.80125,3.62907,218.30999755859375,6,AL,Jack Flaherty,656427,17479,17479
SDP,Padres,10.3618,8.88681,27.7301,27.7301,0.0,0.0,0.0,167.501,684.364,142.283,79.2456,72.906,26.0931,182.68,50.0266,1.07191,4.62587,3.91731,1.14811,9.81559,2.68798,3.65166,1.40201,0.266934,0.0730994,0.1938348114490509,,0.22595,0.276027,0.725797,3.95786,755.2,4.495238095238095,703.0,4.184523809523809,2.58915,2.5865,1.98597,1.16119,1.0033,13.288,1.98597,-1.16119,3.66227,94.63999938964844,29,NL,Nick Pivetta,601713,15454,15454
TEX,Rangers,9.5698,9.6587,27.6387,27.6387,0.0,0.0,0.0,155.711,655.323,136.527,73.5104,67.6296,20.0912,175.39,59.2884,0.653192,6.39038,3.90896,1.25756,10.1375,3.42684,2.95826,1.16126,0.267639,0.0904719,0.17716716974973679,,0.231541,0.2954,0.729362,3.82515,707.2,4.533333333333333,675.0,4.326923076923077,2.57663,2.11205,4.60965,-1.50615,1.01034,11.7375,4.60965,1.50615,3.65288,162.75,13,AL,MacKenzie Gore,669022,22201,22201
ATL,Braves,10.9121,8.78378,26.3596,26.3596,0.0,0.0,0.0,155.923,650.461,133.773,74.1249,68.195,21.0112,182.587,56.0392,0.686081,6.91383,3.93627,1.21735,10.5391,3.23463,3.25819,1.21278,0.280703,0.086153,0.19455014169216156,,0.227696,0.29372,0.721258,3.75616,724.7000000000002,4.645512820512821,684.0,4.384615384615385,2.52563,2.45836,2.81529,-0.143,1.06396,11.0879,2.81529,0.143414,3.58139,104.06999969482422,16,NL,Spencer Strider,675911,27498,27498
KCR,Royals,8.50762,7.82969,23.685,29.7458,0.0121748,0.530061,1.34012,137.351,574.183,125.37,62.1359,57.165,14.6261,133.264,44.5152,1.79589,4.60535,3.74577,1.23687,8.7322,2.91688,2.99368,0.958383,0.232094,0.0775279,0.15456582605838776,,0.238772,0.293618,0.721173,3.65186,624.3000000000002,4.556934306569344,610.0,4.452554744525547,2.52305,2.29745,2.71958,1.21074,0.503249,10.3823,2.71958,-1.21074,4.329,201.75,7,AL,Kris Bubic,663460,21455,21455
CHC,Cubs,10.4016,8.55466,26.6889,26.6889,0.0,0.0,0.0,157.839,654.423,143.9,74.1524,68.2202,20.8178,143.981,44.3354,0.907341,6.87576,3.88991,1.19257,8.20979,2.528,3.24754,1.18703,0.220012,0.0677472,0.15226465463638306,,0.238555,0.280743,0.717094,3.99869,671.5000000000001,4.250000000000001,652.0,4.1265822784810124,2.48771,2.46371,3.8535,3.49597,0.714851,12.1411,3.8535,-3.49597,4.04687,226.85000610351562,17,NL,Matthew Boyd,571510,15440,15440
MIA,Marlins,10.2509,10.9422,28.2934,28.2934,0.0,0.0,0.0,176.142,741.646,170.55,88.4507,81.3746,20.564,147.649,51.0763,0.908366,7.08952,4.15785,1.25823,7.54414,2.60975,2.89075,1.05072,0.199083,0.0688688,0.13021374493837357,,0.249532,0.291084,0.690614,3.96703,721.5000000000001,4.099431818181819,729.0,4.142045454545454,2.45593,2.38532,2.79101,0.00457136,1.08895,12.3152,2.79101,-0.00457136,3.54807,147.44000244140625,20,NL,Sandy Alcantara,645261,18684,18684
CLE,Guardians,10.8478,9.76917,28.6085,28.6085,0.0,0.0,0.0,174.079,725.459,159.42,83.701,77.0049,23.7452,163.339,51.694,0.991774,7.77414,3.98119,1.21275,8.44474,2.67261,3.15974,1.22764,0.225153,0.0712569,0.15389619022607803,,0.239373,0.283302,0.716324,4.05663,725.0000000000001,4.166666666666667,704.0,4.045977011494253,2.44166,2.22111,3.4631,-1.28081,0.967154,12.0356,3.4631,1.28081,3.71046,186.02000427246094,5,AL,Tanner Bibee,676440,30134,30134
LAD,Dodgers,7.66425,4.85084,21.4962,21.4962,0.0,0.0,0.0,111.528,451.999,88.9641,45.3008,41.6767,13.455,132.441,33.9809,0.514287,4.50742,3.36319,1.10237,10.6876,2.74216,3.89751,1.08578,0.293011,0.0751791,0.21783196926116943,,0.215143,0.282156,0.745804,3.36376,584.5000000000002,5.218750000000002,538.0,4.803571428571429,2.43451,2.55229,1.95749,0.312836,0.742472,7.98162,1.95749,-0.312836,4.01004,1.2799999713897705,22,NL,Shohei Ohtani,660271,19755,19755
