Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,9.71413,9.71589,27.957,27.957,0.0,0.0,,159.005,665.814,141.035,76.83,71.73,23.6256,172.371,49.9664,0.492005,6.36134,4.06006,1.20123,9.75655,2.8282,3.44974,1.33726,0.258888,0.0750456,0.18384207040071487,,0.231399,0.283947,0.722944,3.96136,690.8000000000001,4.344654088050315,659.0,4.144654088050315,2.70682,2.21419,11.7497,224.77999877929688,6,AL,Jack Flaherty,656427,17479,17479
CLE,Guardians,9.79397,11.2668,29.301,29.301,0.0,0.0,,178.98,760.176,172.302,92.07,85.71,24.2202,158.112,56.2192,0.546181,8.11837,4.30992,1.2768,7.95064,2.82698,2.81242,1.21791,0.207993,0.0739554,0.13403797149658203,,0.247618,0.288374,0.701142,4.20594,706.2,3.945251396648045,707.0,3.9497206703910615,2.70121,1.94779,14.5874,187.05999755859375,5,AL,Tanner Bibee,676440,30134,30134
PIT,Pirates,7.04917,8.75817,22.272,36.502,0.0,0.6571,,133.292,558.592,124.571,60.44,56.48,12.9046,123.958,39.9202,1.39423,4.2925,3.81358,1.23407,8.36979,2.69545,3.10515,0.871331,0.221912,0.0714657,0.15044645965099335,,0.242177,0.295792,0.710612,3.52887,619.3000000000001,4.65639097744361,616.0,4.631578947368421,2.66686,2.15153,2.83892,266.19000244140625,27,NL,Braxton Ashcraft,677952,23793,23793
SDP,Padres,10.2979,8.57679,27.205,27.205,0.0,0.0,,154.642,653.09,134.964,73.14,68.21,19.8136,154.59,56.8108,0.64715,8.41917,3.96975,1.24012,8.99696,3.30633,2.72113,1.15313,0.236705,0.0869877,0.14971734583377838,,0.229585,0.278506,0.723225,4.06688,665.0,4.290322580645161,630.0,4.064516129032258,2.62398,2.37414,11.362,125.41999816894531,29,NL,Michael King,650633,19853,19853
KCR,Royals,8.22825,8.61743,23.192,29.14,0.0,0.6664,,134.514,562.043,120.758,60.92,56.8,15.5564,131.057,40.4562,1.21556,6.42387,3.80035,1.1985,8.76867,2.70682,3.23947,1.04084,0.233179,0.0719805,0.16119839251041412,,0.234408,0.285448,0.71929,3.73552,615.6,4.5600000000000005,595.0,4.407407407407407,2.60152,2.27155,6.01165,206.94000244140625,7,AL,Kris Bubic,663460,21455,21455
CHC,Cubs,9.8794,9.13642,26.91,26.91,0.0,0.0,,158.758,668.195,151.754,81.07,75.5,23.2518,142.808,41.8315,0.435039,8.11554,4.2801,1.21937,8.09581,2.37143,3.4139,1.31815,0.213722,0.0626037,0.1511186882853508,,0.245457,0.284178,0.69871,4.18389,634.5000000000002,3.9905660377358503,632.0,3.9748427672955975,2.57616,1.80319,12.4206,233.4199981689453,17,NL,Matthew Boyd,571510,15440,15440
PIT,Pirates,8.4012,9.75922,24.796,30.014,0.0,0.6571,,140.516,594.297,128.21,68.41,63.98,18.0175,139.766,46.3283,0.927695,6.50074,4.0979,1.24212,8.95197,2.96731,3.01686,1.15402,0.235179,0.0779547,0.15722402185201645,,0.236782,0.287196,0.710774,3.94062,614.2,4.356028368794327,596.0,4.226950354609929,2.54837,1.93831,6.82774,147.05999755859375,27,NL,Bubba Chandler,696149,29868,29868
NYM,Mets,10.4426,8.91867,27.543,27.543,0.0,0.0,,160.306,681.884,153.947,76.89,71.6,16.491,137.16,56.5855,0.534372,5.78235,4.01981,1.31332,7.70051,3.17686,2.42394,0.925847,0.201148,0.082984,0.11816424876451492,,0.248495,0.295055,0.712969,3.92841,671.8000000000001,4.19875,677.0,4.23125,2.53519,2.27852,12.1733,496.7200012207031,25,NL,David Peterson,656849,20302,20302
CHC,Cubs,9.13725,7.64918,24.504,24.504,0.0,0.0,,135.682,564.762,111.88,60.78,56.99,14.7673,143.133,50.88,0.356904,6.84242,3.78024,1.19957,9.49427,3.37495,2.81316,0.979537,0.25344,0.0900911,0.16334938257932663,,0.220654,0.27815,0.717735,3.71646,642.7,4.725735294117648,597.0,4.389705882352941,2.53052,2.40627,9.51063,183.22000122070312,17,NL,Edward Cabrera,665795,21690,21690
MIL,Brewers,10.2907,9.64144,28.108,28.108,0.0,0.0,,166.364,702.498,162.533,81.28,75.97,18.8433,133.522,50.1193,0.459814,6.16586,4.10984,1.27823,7.22331,2.71137,2.66408,1.01939,0.190067,0.0713444,0.11872299015522003,,0.251516,0.290959,0.705272,4.01738,670.9000000000001,4.041566265060242,683.0,4.114457831325301,2.497,2.24846,12.9541,271.2799987792969,23,NL,Quinn Priester,682990,25977,25977
MIL,Brewers,8.76484,8.67807,24.963,24.963,0.0,0.0,,143.818,600.618,130.7,71.58,66.96,22.3621,144.335,40.0679,0.426713,5.2262,4.1903,1.18739,9.03234,2.50741,3.60225,1.3994,0.24031,0.0667111,0.17359917610883713,,0.235359,0.278772,0.711224,4.09413,607.4000000000001,4.218055555555556,587.0,4.076388888888889,2.48579,1.7717,10.8809,108.77999877929688,23,NL,Brandon Woodruff,605540,16162,16162
ARI,Diamondbacks,10.0451,10.0676,28.116,28.116,0.0,0.0,,170.01,717.458,164.4,88.13,82.55,23.3901,148.917,51.212,0.529779,3.79455,4.37004,1.26823,7.88339,2.71106,2.90786,1.23823,0.207562,0.0713797,0.13618267327547073,,0.24817,0.287691,0.697134,4.14247,681.6999999999999,4.01,684.0,4.023529411764706,2.469,1.78665,13.7415,241.22000122070312,15,NL,Merrill Kelly,518876,11156,11156
TOR,Blue Jays,9.25463,8.41576,24.671,29.621,0.0,0.6529,,136.08,564.545,109.784,60.82,56.93,18.725,154.569,49.7193,0.816524,5.55723,3.76521,1.17213,10.2228,3.28831,3.10884,1.23843,0.273795,0.0880697,0.18572480976581573,,0.215573,0.271031,0.740376,3.87085,632.7,4.652205882352941,579.0,4.257352941176471,2.43852,2.35111,6.16178,142.0,14,AL,Trey Yesavage,702056,35456,35456
ATL,Braves,9.39418,8.90811,25.956,25.956,0.0,0.0,,152.835,653.457,140.152,80.06,75.23,20.8575,161.717,57.1477,0.521594,7.20881,4.43007,1.29093,9.52302,3.36526,2.8298,1.22824,0.247479,0.0874544,0.1600244715809822,,0.237909,0.293449,0.697444,4.05628,641.9000000000001,4.195424836601307,624.0,4.078431372549019,2.43538,1.52743,12.0207,98.77999877929688,16,NL,Spencer Strider,675911,27498,27498
