Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
HOU,Astros,61.0,233.014,270.757,58.1304,34.8083,10.1061,0.536682,12.6793,36.6635,36.3428,29.6383,0.108289,44.1349,5.7874,2.03963,0.277891,4.10176,0.577147,0.177491,0.249472,0.34589,0.460692,0.806582,0.352519,0.109465,0.163006,0.671538,0.211221,2.7248,0.255001,,,40.1285,7.81849,0.18,-0.337521,-0.337521,1.85767,8.098180323839188,0.5950072705745697,126.477,358.6,5.878688524,358.6,5.878688524,243.60000610351562,0.1,3B,/players/isaac-paredes/20036/stats/batting,3B,21.0,21.0,AL,Isaac Paredes,670623,20036,20036
CHC,Cubs,66.0,252.881,284.399,62.4723,38.8984,9.74032,1.63809,12.1955,39.4318,37.8308,24.742,0.356785,68.677,1.50788,2.15485,0.737584,4.32354,7.27618,1.72937,0.247042,0.315416,0.443194,0.75861,0.329398,0.0869973,0.241481,0.360266,0.196152,5.76669,0.288676,,,36.8144,2.87643,2.33,0.387365,0.387365,1.83881,3.5316034853458405,5.3855555057525635,109.141,336.1,5.092424242,336.1,5.092424242,152.30999755859375,0.004,SS,/players/dansby-swanson/18314/stats/batting,SS,17.0,17.0,NL,Dansby Swanson,621020,18314,18314
SDP,Padres,63.0,242.248,274.915,65.4012,45.4575,11.3511,0.438815,8.15367,36.5751,32.7565,24.2942,0.665872,47.6257,2.37174,2.52746,0.500083,5.92796,8.62602,2.01436,0.269976,0.339178,0.421431,0.760609,0.333637,0.0883697,0.173238,0.510106,0.151455,5.05926,0.302903,,,36.5324,3.72618,1.03,0.503052,0.503052,1.82358,5.128602206707001,3.946666717529297,113.911,318.6,5.057142857,318.6,5.057142857,237.1999969482422,0.04,SS,/players/xander-bogaerts/12161/stats/batting,SS,29.0,29.0,NL,Xander Bogaerts,593428,12161,12161
CLE,Guardians,47.0,178.759,202.8,50.3012,29.0896,10.5924,0.765731,9.85346,31.3785,29.8386,20.4927,3.79045,23.5814,1.3588,1.8851,0.218442,2.23927,10.6999,3.22693,0.281391,0.356317,0.514578,0.870895,0.368549,0.101049,0.116279,0.86902,0.233187,5.8202,0.274764,,,32.6946,8.49412,1.07,0.546298,0.546298,1.80682,9.649782061576843,0.9663845077157021,138.148,308.1,6.555319148,308.1,6.555319148,6.28000020980835,0.18534483,3B,/players/jose-ramirez/13510/stats/batting,3B,5.0,5.0,AL,José Ramírez,608070,13510,13510
DET,Tigers,65.0,247.642,283.995,64.882,42.0015,14.0113,1.33867,7.53057,37.6875,31.5522,31.5085,0.408203,41.4406,1.93418,2.19332,0.717232,4.31337,5.46114,1.5908,0.262,0.347097,0.420617,0.767714,0.338244,0.110947,0.14592,0.760329,0.158618,4.9216,0.285524,,,38.8007,4.91095,0.0,0.0264274,0.0264274,1.80163,5.305506406351924,2.3614325523376465,115.797,343.4,5.283076923,343.4,5.283076923,999.0,0.00854701,3B/SS,/players/kevin-mcgonigle/33572/stats/batting,3B/SS,6.0,6.0,AL,Kevin McGonigle,805808,33572,33572
CHW,White Sox,64.0,238.27,273.523,59.8838,33.3029,12.7173,1.26779,12.5958,37.7674,36.6451,29.7219,0.575704,48.4384,2.88036,2.27837,0.37261,3.27049,5.13029,1.41823,0.251328,0.33859,0.473933,0.812523,0.3517,0.108663,0.177091,0.613601,0.222605,4.90492,0.263422,,,40.3566,7.71646,-0.59,0.0843505,0.0843505,1.79953,8.153269685804844,-0.13334262371063232,125.07,369.3,5.7703125,369.3,5.7703125,303.0899963378906,0.03125,3B,/players/miguel-vargas/20178/stats/batting,3B,4.0,4.0,AL,Miguel Vargas,678246,20178,20178
BAL,Orioles,60.0,210.135,239.86,54.4199,34.6308,11.3303,0.391351,8.06736,30.2433,29.8079,25.6931,0.533038,36.556,1.52632,2.22994,0.274966,4.59741,0.59559,0.221728,0.258975,0.340753,0.431793,0.772546,0.338346,0.107117,0.152406,0.702843,0.172818,2.69658,0.276332,,,32.7906,4.16762,2.58,-0.304537,-0.304537,1.78937,4.657982289791107,4.463062763214111,117.582,285.4,4.756666666,285.4,4.756666666,148.92999267578125,0.21153846,C/DH,/players/adley-rutschman/26288/stats/batting,C/DH,2.0,2.0,AL,Adley Rutschman,668939,26288,26288
HOU,Astros,59.0,238.111,262.583,66.1702,44.9432,10.8101,1.52306,8.89379,36.8996,31.1073,16.6784,0.239442,47.9106,4.23881,1.70075,1.13981,5.4531,6.98289,1.9485,0.277896,0.334015,0.448143,0.782158,0.340811,0.0635168,0.182459,0.348116,0.170247,5.80954,0.312973,,,36.4222,5.08763,-0.39,0.233317,0.233317,1.78441,5.919529974460602,2.341481566429138,118.403,330.2,5.596610169,330.2,5.596610169,122.9800033569336,0.01129944,SS,/players/jeremy-pena/21636/stats/batting,SS,21.0,21.0,AL,Jeremy Peña,665161,21636,21636
BAL,Orioles,64.0,241.349,276.685,62.61,34.172,10.5666,0.647941,17.2235,40.6378,45.1224,28.1612,1.50316,63.8733,4.6664,2.23092,0.276918,4.70155,1.29946,0.367708,0.259416,0.345278,0.522657,0.867935,0.370881,0.101781,0.230852,0.440891,0.26324,3.43915,0.27933,,,45.1296,12.1123,0.06,-0.246926,-0.246926,1.78048,12.782282084226608,-5.063456956297159,140.019,410.1,6.4078125,410.1,6.4078125,24.440000534057617,0.03846154,1B,/players/pete-alonso/19251/stats/batting,1B,2.0,2.0,AL,Pete Alonso,624413,19251,19251
STL,Cardinals,63.0,222.38,258.347,60.9869,41.5183,9.86443,0.544041,9.06019,35.7578,32.4475,27.7038,0.982333,46.4591,6.32173,1.57605,0.36513,6.42822,3.3412,1.00043,0.274246,0.368292,0.445723,0.814015,0.358077,0.107235,0.179832,0.596305,0.171477,4.01407,0.308286,,,39.4543,8.62525,1.87,-0.15009,-0.15009,1.77652,8.82844203710556,0.32085466384887695,128.735,343.8,5.457142857,343.8,5.457142857,178.42999267578125,0.73267327,C/DH,/players/ivan-herrera/20599/stats/batting,C/DH,28.0,28.0,NL,Iván Herrera,671056,20599,20599
