Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
MIL,Brewers,9.8734,9.2425,27.54,27.54,0.0,0.0,,159.667,661.693,143.337,73.0585,68.1782,23.2226,168.102,43.5149,0.3686,6.3463,3.84303,1.17026,9.47551,2.45282,3.8631,1.309,0.254049,0.065763,0.18828608840703964,0.363943,0.234276,0.285643,0.73729,3.8571,715.3,4.470625,687.0,4.29375,2.9566,2.72519,14.3201,0.523885,0.87182,1.01712,5.46,4.91,4.54,4.25,4.0,3.76,3.52,3.26,2.93,4.81,4.54,4.37,4.22,4.09,3.96,3.82,3.67,3.47,114.5999984741211,23.0,NL,Brandon Woodruff,605540.0,16162,16162
PHI,Phillies,11.0268,10.4712,30.78,30.78,0.0,0.0,,180.677,758.511,174.961,86.4161,80.0527,26.5596,175.842,46.1091,0.5992,5.8686,3.98763,1.22356,8.75913,2.29681,3.8136,1.323,0.231825,0.060789,0.1710360124707222,0.422958,0.247633,0.294371,0.732266,3.96271,748.3000000000002,4.13425414364641,750.0,4.143646408839779,2.9525,2.97297,15.8772,0.439649,0.834615,0.943331,5.55,5.05,4.71,4.44,4.2,3.98,3.75,3.5,3.19,4.88,4.67,4.52,4.39,4.28,4.17,4.06,3.93,3.76,208.6999969482422,26.0,NL,Aaron Nola,605400.0,16149,16149
MIL,Brewers,10.8688,10.4558,30.78,30.78,0.0,0.0,,177.641,750.489,153.632,82.7801,77.1426,24.8697,199.682,65.5064,0.5066,8.019,3.90836,1.23361,10.1167,3.31882,3.04829,1.26,0.26607,0.087285,0.17878489941358566,0.365926,0.226943,0.284613,0.739788,3.94867,787.3000000000001,4.423033707865169,743.0,4.174157303370786,2.94739,2.84169,15.6516,0.427484,0.832852,0.936154,5.43,4.93,4.6,4.33,4.09,3.87,3.65,3.4,3.09,4.75,4.55,4.4,4.28,4.17,4.07,3.96,3.83,3.66,63.04999923706055,23.0,NL,Freddy Peralta,642547.0,18679,18679
WSN,Nationals,10.4808,10.7372,30.78,30.78,0.0,0.0,,175.533,739.71,153.074,79.1832,73.3568,22.0977,192.889,66.5095,0.3773,6.8675,3.76118,1.25095,9.88987,3.4101,2.90017,1.133,0.260763,0.0899129,0.17084993422031403,0.394355,0.229727,0.290191,0.74425,3.82801,798.0000000000002,4.53409090909091,758.0,4.306818181818182,2.92773,3.31679,15.8073,0.433964,0.826484,0.933489,5.29,4.79,4.46,4.19,3.96,3.74,3.51,3.27,2.96,4.63,4.42,4.27,4.15,4.04,3.93,3.82,3.69,3.52,195.9499969482422,24.0,NL,MacKenzie Gore,669022.0,22201,22201
TBR,Rays,8.9277,8.0057,24.3,24.3,0.0,0.0,,142.175,587.741,128.609,61.2976,56.3108,17.835,153.623,41.5986,0.469,4.1054,3.56461,1.19718,9.72472,2.63329,3.69299,1.129,0.261379,0.0707771,0.19060197472572327,0.455863,0.237271,0.298923,0.74987,3.56926,664.0,4.676056338028169,646.0,4.549295774647887,2.88855,2.72945,13.5896,0.516068,0.900365,1.03778,5.25,4.68,4.3,4.01,3.75,3.51,3.27,3.0,2.68,4.56,4.3,4.12,3.98,3.85,3.72,3.59,3.44,3.25,246.9499969482422,12.0,AL,Shane McClanahan,663556.0,21483,21483
SDP,Padres,11.5502,10.9845,32.0,32.0,0.0,0.0,,191.005,797.849,170.488,89.6143,83.99,29.4148,209.952,58.8948,0.9462,5.6224,3.95754,1.20092,9.89278,2.77507,3.56487,1.386,0.263148,0.073817,0.1893310695886612,0.338098,0.232484,0.285594,0.742651,3.95207,839.7,4.396335078534031,803.0,4.204188481675392,2.87068,2.68794,17.1273,0.434642,0.805434,0.915226,5.43,4.94,4.62,4.36,4.13,3.91,3.69,3.45,3.14,4.79,4.58,4.43,4.31,4.2,4.09,3.98,3.85,3.68,87.8499984741211,29.0,NL,Nick Pivetta,601713.0,15454,15454
TBR,Rays,10.3355,10.6196,30.78,30.78,0.0,0.0,,171.003,718.2,169.704,80.8949,74.426,21.4894,156.43,44.7676,0.6069,6.0688,3.91708,1.2542,8.23298,2.35614,3.49426,1.131,0.217808,0.0623331,0.1554749384522438,0.46686,0.25429,0.302822,0.724439,3.8311,724.1000000000001,4.234502923976609,741.0,4.333333333333333,2.84441,2.4791,14.5429,0.502772,0.854101,0.991094,5.57,5.03,4.68,4.4,4.15,3.91,3.68,3.42,3.09,4.92,4.67,4.5,4.36,4.23,4.1,3.98,3.83,3.64,147.35000610351562,12.0,AL,Drew Rasmussen,656876.0,25385,25385
TOR,Blue Jays,11.293,10.4736,30.78,30.78,0.0,0.0,,185.401,784.933,177.954,89.7519,83.4977,25.6884,180.547,54.64,0.7182,4.4875,4.05326,1.25454,8.76437,2.65241,3.3043,1.247,0.230016,0.069611,0.16040503233671188,0.380152,0.245181,0.29306,0.72645,3.94547,771.4000000000001,4.16972972972973,772.0,4.172972972972973,2.82514,2.20778,16.4229,0.416616,0.827903,0.926819,5.58,5.09,4.76,4.49,4.26,4.04,3.82,3.57,3.25,4.9,4.7,4.56,4.44,4.34,4.23,4.13,4.0,3.84,117.19999694824219,14.0,AL,Kevin Gausman,592332.0,14107,14107
CIN,Reds,8.4394,7.8458,22.68,32.68,0.0,0.6642,,133.954,556.481,118.142,59.8457,55.4839,18.2177,152.31,42.0747,0.6733,4.2482,3.72782,1.19606,10.2333,2.82689,3.61999,1.224,0.273702,0.0756085,0.1980937272310257,0.410098,0.231579,0.294214,0.745079,3.6665,633.3999999999999,4.72686567164179,606.0,4.522388059701493,2.68708,2.63196,10.7158,0.585607,1.14613,1.30042,5.67361,4.93059,4.47207,4.11295,3.81354,3.53085,3.26189,2.96741,2.61667,4.7858,4.49729,4.28953,4.13028,3.98102,3.83252,3.68401,3.52476,3.307,115.75,18.0,NL,Chase Burns,695505.0,35333,35333
ATL,Braves,10.6408,8.5077,27.54,27.54,0.0,0.0,,160.846,674.123,139.488,73.3666,68.389,21.1423,187.199,57.7596,0.6957,7.116,3.82665,1.22631,10.4746,3.23189,3.24101,1.183,0.277693,0.0856811,0.1920119896531105,0.372479,0.228951,0.295195,0.738933,3.72625,750.7000000000002,4.662732919254659,711.0,4.416149068322981,2.66387,2.89192,14.5615,0.474123,0.86747,0.988584,5.41,4.87,4.52,4.24,3.99,3.76,3.52,3.27,2.94,4.73,4.49,4.33,4.2,4.08,3.96,3.84,3.7,3.52,101.75,16.0,NL,Spencer Strider,675911.0,27498,27498
