Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ATH,Athletics,142.332,496.471,576.338,127.533,63.9636,24.7795,2.0516,36.7386,87.5416,93.0709,71.1021,3.6011,178.132,4.41575,3.70996,0.561094,8.21926,2.97515,1.00175,0.25688,0.352704,0.537055,0.889759,0.376564,0.123369,0.309075,0.399155,0.280175,3.6857,0.318232,,,97.8168,29.718,-0.7,-0.712242,-0.712242,3.59405,27.223509192466736,-11.93200796842575,141.125,880.4,6.2,880.4,6.2,17.100000381469727,0.04273504,1B,/players/nick-kurtz/35110/stats/batting,10,AL,Nick Kurtz,701762,35110,35110
CHC,Cubs,147.45,564.369,619.699,139.651,83.1751,27.8401,5.18711,23.4487,87.4054,69.7183,34.8296,2.32662,152.536,8.06042,5.02078,7.419,5.57918,33.846,7.57936,0.247446,0.298133,0.439804,0.737937,0.315661,0.0562041,0.246145,0.228338,0.192357,7.68426,0.295375,,,74.5331,1.31088,5.81,2.84845,2.84845,3.49976,5.503566265106201,8.085462808609009,103.615,717.1,4.878231292,717.1,4.878231292,30.950000762939453,0.00636943,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
SDP,Padres,142.799,554.535,606.173,148.642,91.8413,32.0388,2.34572,22.4157,75.6717,78.347,40.3348,1.92035,119.204,3.17858,5.16505,2.9597,9.52625,8.75879,2.55121,0.268047,0.318552,0.455551,0.774103,0.331613,0.0665401,0.196651,0.338367,0.187504,4.37493,0.301918,,,80.7574,9.13337,0.13,-0.173895,-0.173895,3.47638,11.672741040587425,2.137804627418518,116.489,728.1,5.091608391,728.1,5.091608391,70.7699966430664,0.0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
SFG,Giants,151.322,563.44,655.775,143.722,81.1463,28.262,0.901394,33.4124,88.5108,96.0505,81.4741,9.3376,159.722,6.48561,3.84235,0.533386,11.7125,1.96793,0.86127,0.25508,0.353582,0.486341,0.839924,0.357723,0.124241,0.243563,0.510098,0.231262,2.64493,0.29483,,,101.267,23.7822,0.02,-1.01386,-1.01386,3.45523,24.65803575515747,-12.70454452559352,133.03,902.5,5.976821192,902.5,5.976821192,55.540000915527344,0.81595092,3B,/players/rafael-devers/17350/stats/batting,30,NL,Rafael Devers,646240,17350,17350
PHI,Phillies,140.161,522.18,606.402,143.292,84.8059,31.1099,0.865542,26.5108,83.9972,87.0844,74.3839,7.53746,127.457,4.71426,4.16153,0.962506,11.5332,9.60172,4.34637,0.274411,0.36732,0.489612,0.856932,0.365935,0.122664,0.210186,0.583598,0.2152,3.81641,0.313614,,,97.6861,26.035,0.39,-0.891851,-0.891851,3.44508,24.012970328330994,-10.515963912010193,134.652,873.0,6.235714285,873.0,6.235714285,50.689998626708984,0.01515152,OF,/players/bryce-harper/11579/stats/batting,26,NL,Bryce Harper,547180,11579,11579
ATH,Athletics,137.906,532.12,575.489,161.625,120.929,28.1828,1.40977,11.1034,70.4202,63.0709,30.1888,0.735878,47.4998,6.36713,3.9666,2.84655,16.9521,5.28504,1.76395,0.303738,0.346081,0.424599,0.77068,0.33539,0.0524577,0.0825382,0.635556,0.120861,3.66322,0.315239,,,78.4344,10.436,-0.54,-0.700168,-0.700168,3.42369,7.956187009811401,5.699434220790863,112.762,677.4,4.908695652,677.4,4.908695652,186.27999877929688,0.008,SS,/players/jacob-wilson/33266/stats/batting,10,AL,Jacob Wilson,805779,33266,33266
PHI,Phillies,149.919,549.604,657.222,127.262,62.7304,20.0732,1.03917,43.4194,96.3272,109.978,96.8237,3.78865,183.232,7.08458,3.17411,0.535793,9.41462,5.84128,1.95297,0.231553,0.352026,0.508861,0.860887,0.367658,0.147323,0.278798,0.52842,0.277309,3.44624,0.257087,,,106.792,29.1362,0.0,-0.706602,-0.706602,3.38291,27.204673409461975,-16.006092071533203,135.832,946.9,6.312666666,946.9,6.312666666,24.510000228881836,0.95061728,DH/OF,/players/kyle-schwarber/16478/stats/batting,26,NL,Kyle Schwarber,656941,16478,16478
ATL,Braves,145.809,562.998,624.618,145.184,88.1748,27.5662,2.45587,26.9867,80.0311,87.1988,47.7336,0.871967,160.868,8.40941,4.9748,0.50209,10.0325,2.31089,0.818139,0.257876,0.322579,0.459365,0.781944,0.336415,0.0764205,0.257547,0.296724,0.201489,3.52331,0.310948,,,85.6501,11.8467,-0.75,-0.819848,-0.819848,3.33668,10.706329882144928,1.1251157522201538,115.57,764.4,5.235616438,764.4,5.235616438,68.36000061035156,0.0,3B,/players/austin-riley/18360/stats/batting,16,NL,Austin Riley,663586,18360,18360
CHC,Cubs,148.536,562.554,640.195,141.133,90.6587,27.4238,1.41048,21.6404,75.7386,78.919,63.4686,1.38721,89.635,7.84597,5.41893,0.907202,11.9657,2.35378,0.676011,0.25088,0.33232,0.420047,0.752367,0.32803,0.0991394,0.140012,0.708078,0.169168,2.86918,0.261646,,,83.4278,7.78383,0.48,-0.866219,-0.866219,3.31267,8.306310594081879,2.772222012281418,112.089,731.4,4.908724832,731.4,4.908724832,121.08000183105469,0.00877193,3B,/players/alex-bregman/17678/stats/batting,17,NL,Alex Bregman,608324,17678,17678
MIL,Brewers,144.908,578.844,629.062,157.588,97.8909,33.2564,3.16966,23.2709,82.8787,86.2964,40.1253,2.5153,127.83,4.31606,4.59034,1.18602,9.27369,24.249,6.36383,0.272246,0.321766,0.461258,0.783024,0.335122,0.063786,0.203207,0.313896,0.189012,5.80175,0.310679,,,85.5992,11.2706,4.69,1.32068,1.32068,3.30315,13.182236194610596,-1.8263397216796875,115.909,795.6,5.486896551,795.6,5.486896551,19.6200008392334,0.01324503,OF,/players/jackson-chourio/28806/stats/batting,23,NL,Jackson Chourio,694192,28806,28806
