Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Prelander Berroa ","CHW","RP",999,40,-7.54203223845465,-2.6832634381672,-2.7223949358647657,-4.631379349286592,-8.53984630408614,-26.11891626585935,11.693156450571745,-13.425759815287607,"Prelander Berroa","22932",672860
"Hunter Bigge ","TBR","RP",750.3099975585938,50,-7.54203223845465,-2.6832634381672,-3.6287839367165513,-4.634381134492316,-7.66769178795384,-26.15615253578456,11.693156450571745,-13.462996085212819,"Hunter Bigge","26259",685801
"Hunter Barco ","PIT","SP",999,85,-5.02364929829956,-2.6832634381672,-4.543242770841804,-7.724468855021431,-5.31287459439664,-25.28749895672664,10.823493985509053,-13.464004971217589,"Hunter Barco","33174",682995
"Lou Trivino ",,"RP",999,43,-7.54203223845465,-2.6832634381672,-3.4458921698915024,-3.8110581588992187,-8.7142772073126,-26.19652321272517,11.693156450571745,-13.50336676215343,"Lou Trivino","15043",642152
"Nick Raquet ","STL","RP",999,50,-7.54203223845465,-2.6832634381672,-2.7256228691741504,-4.634381134492316,-8.62706175569937,-26.212361435987695,11.693156450571745,-13.519204985415948,"Nick Raquet","20333",675919
"Isaac Mattson ","PIT","RP",750.0800170898438,64,-6.28284076837711,-1.87449329708511,-4.897728537909055,-6.281027085678506,-6.88275272343477,-26.21884241248454,11.693156450571745,-13.5256859619128,"Isaac Mattson","20385",676755
"Trey Gibson ","BAL","SP",999,46,-6.28284076837711,-2.6832634381672,-3.2662283363758378,-4.530527704666388,-8.62706175569937,-25.38992200328591,10.823493985509053,-13.566428017776857,"Trey Gibson","sa3023250",694346
"Nolan Hoffman ","PHI","RP",999,42,-7.54203223845465,-2.6832634381672,-2.903672736035124,-4.4266742748404635,-8.7142772073126,-26.26991989481004,11.693156450571745,-13.576763444238297,"Nolan Hoffman","23381",676510
"Cade Gibson ","MIA","RP",743,60,-6.28284076837711,-2.6832634381672,-2.7288508024835383,-6.690437234570762,-7.92933814279353,-26.31473038639214,11.693156450571745,-13.621573935820397,"Cade Gibson","31815",806188
"Trevor McDonald ","SFG","SP",521,107,-2.50526635814448,-2.6832634381672,-5.634137505173336,-9.578821665859468,-5.05122823955695,-25.452717206901433,10.823493985509053,-13.629223221392383,"Trevor McDonald","26448",686790
"Logan Evans ","SEA","SP",742.5399780273438,62,-6.28284076837711,-2.6832634381672,-3.813289670196295,-4.94594142397009,-7.75490723956707,-25.480242540277764,10.823493985509053,-13.656748554768713,"Logan Evans","33699",688138
"Keegan Thompson ","CIN","RP",999,61,-6.28284076837711,-2.6832634381672,-5.077392371424718,-5.561557539911332,-6.79553727182154,-26.40059138970191,11.693156450571745,-13.707434939130163,"Keegan Thompson","19795",624522
"Scott Effross ",,"RP",999,36,-7.54203223845465,-2.6832634381672,-2.3598393355240517,-4.014262340742486,-9.84807807828459,-26.447475431172982,11.693156450571745,-13.754318980601234,"Scott Effross","18384",664123
"Kervin Castro ","NYY","RP",999,40,-7.54203223845465,-2.6832634381672,-2.7223949358647657,-4.631379349286592,-8.88870811053906,-26.46777807231227,11.693156450571745,-13.774621621740527,"Kervin Castro","21656",665645
"Cole Sulser ","TBR","RP",999,52,-7.54203223845465,-2.6832634381672,-3.8100617368869103,-4.429676060046188,-8.01655359440676,-26.481587067961712,11.693156450571745,-13.788430617389967,"Cole Sulser","15256",642121
"Mitchell Parker ","WSN","SP",999,81,-5.02364929829956,-2.6832634381672,-5.9870093055858895,-5.56756111032278,-6.35946001375539,-25.62094316613083,10.823493985509053,-13.797449180621776,"Mitchell Parker","27636",680730
"Joey Wentz ","ATL","SP/RP",729.3800048828125,60,-6.28284076837711,-2.6832634381672,-4.5351729375683405,-5.150646498416219,-6.969968175048,-25.621891817576874,10.823493985509053,-13.798397832067822,"Joey Wentz","19962",666214
"Yoendrys Gómez ","TBR","SP/RP",732.77001953125,52,-6.28284076837711,-2.6832634381672,-4.713222804429312,-4.429676060046188,-7.58047633634061,-25.689479407360427,10.823493985509053,-13.865985421851372,"Yoendrys Gomez","22872",672782
"José Fermin ","LAA","RP",999,61,-6.28284076837711,-2.6832634381672,-5.077392371424718,-6.074821118629514,-6.44667546536862,-26.56499316196717,11.693156450571745,-13.871836711395424,"Jose Fermin","33908",820862
"Jacob Webb ",,"RP",741.5399780273438,48,-7.54203223845465,-2.6832634381672,-4.350667204088597,-3.812559051502082,-8.19098449763322,-26.57950642984576,11.693156450571745,-13.886349979274014,"Jacob Webb","19274",657097
