Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
BOS,Red Sox,3,3,10,10,0,0,,51.0,213,47,25,23,7,52,16,,2,4.05311,1.24462,9.28419,2.87524,3.22901,1.24284,0.245084,0.0759005,0.16918319463729858,,0.240193,0.293456,0.722486,3.90445,219.10000000000008,4.296078431372551,214.0,4.196078431372549,0.87603,0.842076,5,673.0,/players/payton-tolle/35466/stats/pitching,P,3,3.0,AL,Payton Tolle,801139,35466,35466
SFG,Giants,4,3,11,11,0,0,,57.0,246,53,26,24,5,56,24,,2,3.79609,1.34894,8.77862,3.82893,2.29271,0.841052,0.226233,0.0986749,0.127557672560215,,0.23972,0.298197,0.730038,3.74152,256.49999999999994,4.499999999999999,254.0,4.456140350877193,0.868674,0.916606,6,690.0999755859375,/players/landen-roupp/30076/stats/pitching,P,30,30.0,NL,Landen Roupp,694738,30076,30076
LAD,Dodgers,4,3,9,15,0,0,,63.0,269,63,33,30,8,53,19,,2,4.3125,1.30186,7.54301,2.76402,2.729,1.1946,0.197152,0.0722435,0.12490883469581604,,0.2546,0.293577,0.702117,4.18161,247.00000000000006,3.9206349206349214,254.0,4.031746031746032,0.867072,0.652609,4,650.3499755859375,/players/justin-wrobleski/31204/stats/pitching,P,22,22.0,NL,Justin Wrobleski,680736,31204,31204
TBR,Rays,4,4,12,12,0,0,,67.0,288,71,35,33,9,48,17,,2,4.36046,1.31481,6.38734,2.34052,2.72903,1.17953,0.165777,0.0607457,0.10503081977367401,,0.264704,0.293806,0.700577,4.27397,239.49999999999997,3.5746268656716413,257.0,3.8358208955223883,0.854307,0.764151,6,738.3400268554688,/players/nick-martinez/12730/stats/pitching,P,12,12.0,AL,Nick Martinez,607259,12730,12730
ARI,Diamondbacks,4,4,11,20,0,0,,73.0,308,75,38,35,10,63,18,,4,4.37729,1.28852,7.78036,2.26634,3.43301,1.21019,0.203275,0.0592119,0.14406313002109528,,0.262355,0.305575,0.693275,4.02301,282.20000000000005,3.8657534246575347,295.0,4.041095890410959,0.845,0.694032,5,588.5999755859375,/players/brandon-pfaadt/27782/stats/pitching,P,15,15.0,NL,Brandon Pfaadt,694297,27782,27782
MIL,Brewers,3,3,10,10,0,0,,51.0,216,45,24,23,7,57,18,,3,3.95626,1.22971,9.97418,3.19567,3.12115,1.25718,0.263636,0.0844676,0.17916852980852127,,0.230369,0.288358,0.730341,3.92079,225.30000000000007,4.417647058823531,215.0,4.215686274509804,0.83143,0.813098,5,446.55999755859375,/players/kyle-harrison/27758/stats/pitching,P,23,23.0,NL,Kyle Harrison,690986,27758,27758
PIT,Pirates,4,4,12,12,0,0,,66.0,284,67,35,32,9,56,21,,4,4.37968,1.34109,7.57776,2.90708,2.60665,1.17107,0.195297,0.0749225,0.12037447839975357,,0.259272,0.300535,0.703695,4.26148,240.5000000000001,3.643939393939396,250.0,3.787878787878788,0.82015,0.739544,6,518.6300048828125,/players/mitch-keller/17594/stats/pitching,P,27,27.0,NL,Mitch Keller,656605,17594,17594
BAL,Orioles,4,4,11,11,0,0,,63.0,270,60,32,30,8,59,23,,3,4.28858,1.32035,8.46997,3.33655,2.53854,1.16421,0.219807,0.086588,0.13321932405233383,,0.245646,0.293439,0.707501,4.14675,251.80000000000007,3.9968253968253977,251.0,3.984126984126984,0.819022,0.744561,5,186.92999267578125,/players/shane-baz/22264/stats/pitching,P,2,2.0,AL,Shane Baz,669358,22264,22264
CHC,Cubs,4,3,10,13,0,0,,61.0,262,57,28,26,6,53,25,,3,3.78,1.33601,7.73757,3.64333,2.12376,0.852055,0.200602,0.094456,0.10614609718322754,,0.242686,0.290194,0.728725,3.95772,251.4000000000001,4.121311475409837,249.0,4.081967213114754,0.816935,0.933599,5,452.0400085449219,/players/david-peterson/20302/stats/pitching,P,17,17.0,NL,David Peterson,656849,20302,20302
NYM,Mets,3,3,11,11,0,0,,52.0,220,47,26,24,7,54,18,,3,4.09344,1.23808,9.3611,3.087,3.03242,1.21397,0.24694,0.0814331,0.16550655663013458,,0.234981,0.288592,0.711868,3.98223,221.50000000000006,4.259615384615386,214.0,4.115384615384615,0.794169,0.58348,5,748.5700073242188,/players/christian-scott/30107/stats/pitching,P,25,25.0,NL,Christian Scott,681035,30107,30107
