Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
KCR,Royals,132.0,503.855,564.297,136.958,95.1219,27.761,2.44094,11.6339,74.6472,59.9506,50.3507,0.668873,81.2534,1.44973,5.21371,3.42815,11.4805,22.2137,6.74832,0.27182,0.336546,0.405875,0.74242,0.324281,0.0892272,0.14399,0.619675,0.134055,5.73196,0.301128,,,71.8195,5.1434,6.44,0.713674,0.713674,3.27149,3.980875611305237,8.562807083129883,104.912,643.8,4.877272727,643.8,4.877272727,63.150001525878906,0.02985075,3B,/players/maikel-garcia/22715/stats/batting,7.0,AL,Maikel Garcia,672580,22715,22715
PHI,Phillies,133.0,487.552,573.077,134.196,80.8089,27.958,2.05842,23.3703,81.5426,81.4529,76.0488,6.6462,113.287,4.42305,3.97305,1.07985,11.0457,10.0339,3.73774,0.275244,0.375295,0.484833,0.860128,0.368567,0.132703,0.197682,0.671295,0.20959,4.5315,0.3123,,,93.5421,25.8287,-1.08,-0.544739,-0.544739,3.25971,24.215888679027557,-11.428765416145325,136.455,819.0,6.157894736,819.0,6.157894736,47.900001525878906,0.01290323,OF,/players/bryce-harper/11579/stats/batting,26.0,NL,Bryce Harper,547180,11579,11579
TBR,Rays,133.0,505.866,557.918,131.216,77.0563,22.3198,0.428615,31.4109,70.1996,93.2364,43.0036,1.76047,105.964,3.94093,4.48518,0.622399,11.6276,3.81985,1.4588,0.259388,0.319687,0.491485,0.811172,0.345574,0.0770788,0.189927,0.405834,0.232097,2.87499,0.26759,,,80.6528,14.7305,-2.67,-0.640423,-0.640423,3.24482,13.638679504394531,-1.136049509048462,121.715,728.6,5.478195488,728.6,5.478195488,16.479999542236328,0.03351955,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406,28163,28163
MIN,Twins,113.0,426.256,478.87,107.395,55.1562,25.2443,1.72592,25.2686,69.6882,71.43,41.1642,1.55911,127.511,7.81657,3.05365,0.580197,5.11197,11.6506,2.72176,0.25195,0.326948,0.497112,0.82406,0.3514,0.085961,0.266275,0.322828,0.245163,5.52477,0.29699,,,71.4904,14.9082,0.42,0.538316,0.538316,3.22736,15.129200220108032,-0.07516089081764221,125.852,653.5,5.78318584,653.5,5.78318584,73.4800033569336,0.07482993,OF,/players/byron-buxton/14161/stats/batting,8.0,AL,Byron Buxton,621439,14161,14161
ATH,Athletics,117.0,410.871,456.037,107.141,58.3546,22.4241,1.1697,25.1931,63.3176,70.5129,37.5627,1.27066,104.379,3.49951,3.38968,0.713976,6.61134,4.36009,1.3221,0.260767,0.325491,0.504986,0.830477,0.353198,0.0823676,0.228883,0.359868,0.244219,4.00563,0.287852,,,68.7476,14.8633,-3.57,-0.317334,-0.317334,3.21875,13.135701954364777,2.620476007461548,125.029,620.5,5.303418803,620.5,5.303418803,54.04999923706055,0.1409396,C,/players/shea-langeliers/25816/stats/batting,10.0,AL,Shea Langeliers,669127,25816,25816
CHC,Cubs,134.0,502.166,575.781,126.647,81.3554,24.8984,0.662645,19.7308,70.5645,73.908,60.875,1.13265,80.5093,6.97006,4.81422,0.955911,11.1534,2.46783,0.995361,0.252202,0.33835,0.422297,0.760647,0.332154,0.105726,0.139826,0.756123,0.170095,2.70171,0.262862,,,76.9613,8.92829,0.56,-0.891547,-0.891547,3.17955,9.28571993112564,2.6279011368751526,114.913,680.4,5.07761194,680.4,5.07761194,119.16999816894531,0.02189781,3B,/players/alex-bregman/17678/stats/batting,17.0,NL,Alex Bregman,608324,17678,17678
LAD,Dodgers,130.0,477.135,566.385,123.672,74.3508,25.095,1.99665,22.2293,84.3414,74.3387,79.553,4.84957,87.2402,3.26861,4.543,0.865442,8.4343,15.5421,5.69472,0.259197,0.365799,0.459929,0.825729,0.356466,0.140458,0.15403,0.911885,0.200732,4.89586,0.272542,,,86.885,19.9623,-2.0,-0.229253,-0.229253,3.16477,20.10034616291523,-8.018518447875977,130.285,770.7,5.928461538,770.7,5.928461538,13.130000114440918,0.12258065,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656,18345,18345
LAD,Dodgers,130.0,492.787,566.385,136.938,84.4607,28.5344,1.40745,22.5351,80.4497,80.5453,61.6664,6.43313,95.8505,6.55777,4.59483,0.778414,10.5293,6.58565,2.37711,0.277884,0.362729,0.47869,0.841419,0.360039,0.108877,0.169232,0.64336,0.200806,3.83947,0.301856,,,88.5283,21.6056,0.37,-0.621846,-0.621846,3.12028,21.35101068019867,-9.704007983207703,132.733,794.9,6.114615384,794.9,6.114615384,67.87999725341797,0.0,1B,/players/freddie-freeman/5361/stats/batting,22.0,NL,Freddie Freeman,518692,5361,5361
BAL,Orioles,131.0,487.228,562.701,122.918,73.3098,25.2346,1.02036,23.3537,74.7979,73.9314,64.0929,0.473985,127.966,5.90973,4.83843,0.631191,8.82032,4.73547,1.68644,0.252281,0.343234,0.452057,0.79529,0.344979,0.113902,0.227413,0.50086,0.199776,3.51814,0.292195,,,81.0721,14.5847,2.12,-0.686506,-0.686506,3.11214,14.985966861248016,-3.944814682006836,123.631,710.1,5.420610687,710.1,5.420610687,148.42999267578125,0.03867403,OF,/players/taylor-ward/17548/stats/batting,2.0,AL,Taylor Ward,621493,17548,17548
MIA,Marlins,120.0,459.836,505.647,128.028,89.3917,23.5279,2.8334,12.2755,63.5987,58.817,35.9145,1.32499,78.4507,3.91609,4.10155,1.87885,11.06,15.9536,4.60387,0.278422,0.333207,0.421997,0.755204,0.327561,0.0710268,0.155149,0.457797,0.143575,5.42938,0.310154,,,65.7014,5.95531,2.38,0.461027,0.461027,3.1103,5.63541054725647,7.935555458068848,108.634,592.7,4.939166666,592.7,4.939166666,229.16000366210938,0.00598802,2B/SS,/players/otto-lopez/19608/stats/batting,20.0,NL,Otto Lopez,672640,19608,19608
LAD,Dodgers,104.0,390.606,450.693,103.935,66.0489,22.4226,0.994156,14.4693,61.4577,57.056,50.3129,0.893648,51.0979,4.42196,4.28014,0.614662,6.79766,6.06667,2.30647,0.266086,0.352897,0.439711,0.792608,0.34492,0.111635,0.113376,0.984638,0.173625,3.98592,0.271669,,,64.9129,11.66,-1.05,-0.522681,-0.522681,3.08927,11.429548025131226,3.764814615249634,122.376,560.3,5.3875,560.3,5.3875,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22.0,NL,Mookie Betts,605141,13611,13611
DET,Tigers,122.0,462.526,523.163,120.348,76.8763,24.5554,5.75924,13.1576,67.9063,58.3923,52.0018,1.14101,77.0438,2.90061,3.96648,1.76729,8.17315,9.84074,2.44295,0.260198,0.336119,0.423533,0.759652,0.330175,0.099399,0.147266,0.674964,0.163335,5.76434,0.284861,,,69.0874,7.27167,0.0,0.10529,0.10529,3.06291,7.343032255768776,4.578423023223877,111.738,616.3,5.051639344,616.3,5.051639344,999.0,0.0,3B/SS,/players/kevin-mcgonigle/33572/stats/batting,6.0,AL,Kevin McGonigle,805808,33572,33572
LAD,Dodgers,123.0,485.868,535.198,126.395,76.6931,26.9765,1.8909,20.835,73.6453,72.659,36.5245,1.10241,118.267,7.92857,4.31718,0.560301,7.0992,10.1114,3.29183,0.260144,0.319559,0.452096,0.771655,0.33196,0.0682447,0.220978,0.308831,0.191952,4.93108,0.300671,,,71.4526,8.21484,1.42,-0.118279,-0.118279,3.00817,8.443610563874245,3.1455891132354736,113.498,652.3,5.303252032,652.3,5.303252032,133.4199981689453,0.0,OF,/players/andy-pages/24816/stats/batting,22.0,NL,Andy Pages,681624,24816,24816
ATH,Athletics,122.0,433.401,516.582,108.402,57.744,20.6771,2.20516,27.7761,76.6983,77.3081,75.7043,4.118,157.476,3.68944,3.247,0.53973,7.4097,4.37497,1.37799,0.25012,0.363916,0.500271,0.864187,0.369373,0.146548,0.304842,0.480736,0.250151,4.27574,0.320713,,,84.6586,23.6205,-0.36,-0.56747,-0.56747,2.99771,21.455583930015564,-9.944735884666443,136.171,752.1,6.164754098,752.1,6.164754098,19.8700008392334,0.03571429,1B,/players/nick-kurtz/35110/stats/batting,10.0,AL,Nick Kurtz,701762,35110,35110
BAL,Orioles,103.0,357.088,412.315,89.988,58.3622,18.4401,0.869289,12.3165,50.0255,47.8825,48.2477,1.30581,64.774,2.81176,3.6121,0.555879,8.15963,0.740881,0.259091,0.252005,0.342548,0.411989,0.754537,0.330236,0.117017,0.157098,0.744862,0.159983,2.5042,0.273868,,,54.4696,5.75137,5.09,-0.671672,-0.671672,2.98812,5.87673819065094,9.13079309463501,113.475,472.6,4.588349514,472.6,4.588349514,148.92999267578125,0.17647059,C/DH,/players/adley-rutschman/26288/stats/batting,2.0,AL,Adley Rutschman,668939,26288,26288
