Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ARI,Diamondbacks,8.58734,8.67575,25.0,25.0,0.0,0.0,,141.325,600.05,135.329,74.2,69.41,19.2383,124.266,47.563,0.454862,3.17702,4.42024,1.29413,7.91363,3.02896,2.61266,1.22515,0.207093,0.0792651,0.1278274953365326,,0.246362,0.286075,0.69693,4.22331,553.7,3.9269503546099296,553.0,3.921985815602837,2.00733,1.37996,10.5695,284.17999267578125,15,NL,Merrill Kelly,518876,11156,11156
CLE,Guardians,6.94934,7.76628,22.0,22.0,0.0,0.0,,115.61,489.765,107.287,55.47,51.77,13.6905,106.86,38.3545,0.346756,6.29566,4.03019,1.25977,8.31884,2.98582,2.78612,1.06578,0.218186,0.078312,0.13987445831298828,,0.241033,0.288377,0.712961,3.98461,490.00000000000006,4.224137931034483,480.0,4.137931034482759,1.9966,1.73783,7.60864,294.17999267578125,5,AL,Parker Messick,800048,31986,31986
ATH,Athletics,8.45212,9.12615,25.0,25.0,0.0,0.0,,146.675,632.746,143.489,80.26,74.97,21.3301,140.365,56.1685,0.504022,5.0607,4.60017,1.36123,8.61282,3.44651,2.499,1.30882,0.221835,0.0887693,0.133065328001976,,0.251067,0.298079,0.703185,4.36403,554.7,3.773469387755102,559.0,3.802721088435374,1.96774,1.15555,11.5864,642.52001953125,10,AL,Luis Severino,622663,15890,15890
ARI,Diamondbacks,9.95056,9.28455,27.0,27.0,0.0,0.0,,161.919,692.11,154.951,83.73,78.44,19.523,130.554,56.9906,0.576608,7.50047,4.35996,1.30894,7.2566,3.16773,2.29079,1.08516,0.188631,0.0823432,0.10628800839185715,,0.246888,0.283594,0.694503,4.28488,616.8,3.807407407407407,617.0,3.808641975308642,1.95542,1.68832,12.9608,222.69000244140625,15,NL,Zac Gallen,668678,19291,19291
CHC,Cubs,6.18683,4.93517,16.0,16.0,0.0,0.0,,90.912,376.479,80.9448,40.41,37.48,10.0208,84.7981,26.56,0.24079,3.36014,3.7104,1.18252,8.39474,2.62936,3.19269,0.992032,0.22524,0.0705485,0.15469134598970413,,0.233567,0.281735,0.717779,3.68991,419.79999999999995,4.613186813186813,405.0,4.450549450549451,1.94328,1.69848,6.57908,605.5,17,NL,Justin Steele,657006,17312,17312
DET,Tigers,8.43693,9.10293,25.0,25.0,0.0,0.0,,145.7,622.735,133.266,77.52,72.36,22.8784,152.29,56.1963,0.502912,5.22881,4.46973,1.30036,9.40707,3.47129,2.70996,1.41322,0.24455,0.0902412,0.15430910885334015,,0.23742,0.285874,0.71105,4.35075,572.7,3.922602739726028,552.0,3.780821917808219,1.91635,1.29168,11.3445,209.0,6,AL,Jack Flaherty,656427,17479,17479
ARI,Diamondbacks,7.45704,7.7146,21.0,31.0,0.0,0.5925,,109.76,462.927,94.8347,52.23,48.84,13.4897,118.835,41.6264,0.630533,5.02887,4.00473,1.24327,9.74409,3.41324,2.85479,1.10611,0.256703,0.08992,0.16678279638290405,,0.227819,0.286479,0.7164,3.8427,508.1,4.619090909090909,482.0,4.381818181818182,1.91437,1.56725,5.2807,710.3599853515625,15,NL,Michael Soroka,647336,18383,18383
NYM,Mets,9.61454,8.16607,25.0,25.0,0.0,0.0,,149.275,632.949,126.071,75.74,70.99,23.1607,155.582,61.2536,0.39274,8.76778,4.28009,1.25489,9.38027,3.69307,2.53997,1.39639,0.245805,0.096775,0.1490301489830017,,0.223956,0.267866,0.720367,4.47487,594.1000000000001,3.987248322147652,548.0,3.6778523489932886,1.90163,1.6802,11.8434,56.36000061035156,25,NL,Freddy Peralta,642547,18679,18679
CIN,Reds,4.98486,4.25933,13.0,13.0,0.0,0.0,,76.752,315.278,61.3143,33.25,31.21,10.0089,95.6969,24.7897,0.220056,3.10906,3.65971,1.12185,11.2215,2.90685,3.86036,1.17366,0.303531,0.0786278,0.22490357607603073,,0.213356,0.282404,0.733152,3.42723,396.20000000000005,5.145454545454546,363.0,4.714285714285714,1.8924,1.52992,5.82238,444.32000732421875,18,NL,Hunter Greene,668881,22182,22182
PHI,Phillies,9.80902,9.19776,27.0,27.0,0.0,0.0,,158.949,677.681,151.54,86.63,80.71,25.663,154.509,53.9537,0.439204,7.36803,4.56996,1.29283,8.74858,3.05496,2.86373,1.45309,0.227996,0.0796152,0.14838097244501114,,0.245863,0.288584,0.700989,4.4473,588.6000000000001,3.701886792452831,584.0,3.6729559748427674,1.89031,1.20373,12.5865,205.52999877929688,26,NL,Aaron Nola,605400,16149,16149
LAA,Angels,6.70935,8.60776,21.0,31.0,0.0,0.5545,,108.817,457.674,97.4277,53.75,50.11,15.8896,121.845,35.3183,0.670111,4.49797,4.14447,1.2199,10.0775,2.92108,3.44991,1.31419,0.266226,0.077169,0.1890569105744362,,0.23316,0.291079,0.714892,3.89167,488.59999999999997,4.482568807339449,468.0,4.293577981651376,1.85486,1.29755,5.34916,350.4599914550781,1,AL,Reid Detmers,672282,27468,27468
LAA,Angels,8.36294,10.0072,26.0,26.0,0.0,0.0,,153.764,661.968,148.097,83.34,77.57,22.8673,149.404,57.7433,0.665055,6.95202,4.54027,1.33868,8.74479,3.37979,2.58738,1.33845,0.225696,0.0872298,0.13846661895513535,,0.247956,0.294658,0.70473,4.3874,574.9000000000001,3.7331168831168835,574.0,3.727272727272727,1.85395,1.29057,12.2219,506.57000732421875,1,AL,Yusei Kikuchi,579328,20633,20633
MIL,Brewers,7.91806,8.61017,23.0,30.0,0.0,0.5558,,113.862,484.684,86.2302,52.26,49.02,14.9677,143.671,58.4459,0.49641,6.18352,3.87469,1.27063,11.3562,4.61974,2.45819,1.18309,0.296422,0.120585,0.17583608627319336,,0.205283,0.272602,0.74697,4.02329,535.4999999999999,4.697368421052631,475.0,4.166666666666667,1.852,1.8559,5.70328,114.13999938964844,23,NL,Jacob Misiorowski,694819,31623,31623
MIN,Twins,6.78275,8.30963,21.0,28.0,0.0,0.0,,106.04,450.832,93.914,51.27,48.04,13.0045,110.758,41.7237,0.483401,4.1397,4.07732,1.27912,9.40042,3.54124,2.65456,1.10374,0.245675,0.0925482,0.1531265527009964,,0.231904,0.287723,0.718442,3.93797,464.10000000000014,4.378301886792454,445.0,4.19811320754717,1.84241,1.44387,5.31004,492.4599914550781,8,AL,Taj Bradley,671737,22543,22543
