Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
ATL,Braves,2,2,6,6,0,0,,34.0,143,29,16,15,5,40,13,,1,4.00528,1.24092,10.4759,3.44996,3.03653,1.22038,0.277579,0.0914133,0.18616566061973572,,0.227623,0.292541,0.72039,3.81603,152.70000000000002,4.491176470588236,143.0,4.205882352941177,0.565649,0.530876,3,124.86000061035156,/players/spencer-strider/27498/stats/pitching,P,16.0,16.0,NL,Spencer Strider,675911,27498,27498
SFG,Giants,3,3,10,15,0,0,,61.0,262,60,30,28,6,48,22,,4,4.15556,1.34814,7.11026,3.28719,2.16302,0.922821,0.182794,0.0845086,0.0982852503657341,,0.252485,0.293422,0.702531,4.14404,239.60000000000008,3.9278688524590177,245.0,4.016393442622951,0.561769,0.538797,5,748.5800170898438,/players/trevor-mcdonald/26448/stats/pitching,P,30.0,30.0,NL,Trevor McDonald,686790,26448,26448
ATH,Athletics,3,3,7,20,0,0,,54.0,232,48,28,26,7,53,23,,4,4.26904,1.31441,8.86892,3.82953,2.31593,1.0957,0.229726,0.0991938,0.1305321604013443,,0.23399,0.285007,0.698294,4.18787,213.7,3.9574074074074073,204.0,3.7777777777777777,0.560828,0.547609,3,999.0,/players/jackson-perkins/31468/stats/pitching,P,10.0,10.0,AL,Jack Perkins,678022,31468,31468
NYM,Mets,3,3,8,8,0,0,,45.0,194,40,22,21,6,47,20,,2,4.11735,1.33612,9.30731,4.05784,2.29366,1.15229,0.241075,0.105105,0.13596974313259125,,0.233252,0.28758,0.725106,4.18352,183.2,4.071111111111111,175.0,3.888888888888889,0.557307,0.528242,4,223.52000427246094,/players/kodai-senga/31838/stats/pitching,P,25.0,25.0,NL,Kodai Senga,673540,31838,31838
LAD,Dodgers,2,1,0,32,1,7,,32.0,132,24,13,12,4,40,14,,1,3.49597,1.18078,11.3218,3.87971,2.9182,1.1456,0.304422,0.104319,0.20010379701852798,,0.204853,0.273655,0.756613,3.66066,193.20000000000002,6.0375000000000005,176.0,5.5,0.556661,0.541866,0,743.4199829101562,/players/alex-vesia/25007/stats/pitching,P,22.0,22.0,NL,Alex Vesia,681911,25007,25007
PIT,Pirates,2,2,0,34,14,2,,34.0,144,29,15,14,3,37,14,,3,3.78636,1.27575,9.85395,3.68882,2.6713,0.774835,0.25654,0.0960357,0.16050449013710022,,0.22932,0.300508,0.70849,3.50937,240.30000000000004,7.067647058823531,232.0,6.823529411764706,0.555327,0.488942,0,728.4099731445312,/players/gregory-soto/19677/stats/pitching,P,27.0,27.0,NL,Gregory Soto,642397,19677,19677
CHC,Cubs,4,5,13,13,0,0,,72.0,304,73,41,38,13,57,19,,2,4.69195,1.27198,7.16581,2.36203,3.03375,1.59802,0.18922,0.0623717,0.1268484890460968,,0.257564,0.282429,0.689192,4.68461,234.10000000000008,3.25138888888889,242.0,3.361111111111111,0.554035,0.316027,6,504.4700012207031,/players/jameson-taillon/11674/stats/pitching,P,17.0,17.0,NL,Jameson Taillon,592791,11674,11674
TBR,Rays,3,3,6,29,0,0,,58.0,243,52,29,27,8,58,20,,3,4.1066,1.22801,8.90894,3.03804,2.93246,1.23011,0.236333,0.0805918,0.15574074536561966,,0.234302,0.281902,0.706158,4.0652,242.60000000000008,4.182758620689657,233.0,4.017241379310345,0.552303,0.455349,2,521.1400146484375,/players/ian-seymour/27932/stats/pitching,P,12.0,12.0,AL,Ian Seymour,693855,27932,27932
HOU,Astros,4,6,13,18,0,0,,75.0,326,67,42,38,11,74,35,,5,4.58274,1.3619,8.86183,4.18848,2.11577,1.29701,0.226892,0.107239,0.11965333670377731,,0.235521,0.280983,0.696837,4.60772,273.5,3.6466666666666665,260.0,3.466666666666667,0.550118,0.497552,5,728.3099975585938,/players/spencer-arrighetti/29921/stats/pitching,P,21.0,21.0,AL,Spencer Arrighetti,681293,29921,29921
ATH,Athletics,4,5,14,14,0,0,,76.0,329,79,46,42,13,62,25,,4,4.9861,1.36494,7.32658,2.9056,2.52154,1.58377,0.18833,0.0746887,0.11364169418811798,,0.263683,0.292406,0.681899,4.87478,234.1,3.080263157894737,248.0,3.263157894736842,0.546786,0.348956,6,748.5800170898438,/players/aaron-civale/19479/stats/pitching,P,10.0,10.0,AL,Aaron Civale,650644,19479,19479
ATL,Braves,3,2,0,35,2,7,,35.0,142,30,15,14,4,35,10,,1,3.49795,1.14614,9.16822,2.58988,3.54002,0.987226,0.249752,0.0705512,0.17920127511024475,,0.2284,0.28469,0.729098,3.45436,206.8,5.908571428571429,198.0,5.6571428571428575,0.540796,0.499938,0,214.39999389648438,/players/robert-suarez/30115/stats/pitching,P,16.0,16.0,NL,Robert Suarez,663158,30115,30115
MIL,Brewers,3,3,7,20,0,0,,51.0,215,46,25,23,7,48,17,,4,4.17357,1.26334,8.5263,3.09827,2.75195,1.24185,0.222485,0.0808464,0.14163903146982193,,0.240027,0.284685,0.709504,4.29005,204.70000000000007,4.01372549019608,197.0,3.8627450980392157,0.531221,0.387895,3,748.5800170898438,/players/robert-gasser/29812/stats/pitching,P,23.0,23.0,NL,Robert Gasser,688107,29812,29812
ATH,Athletics,3,3,9,9,0,0,,53.0,231,54,30,27,8,45,19,,3,4.63788,1.3634,7.66027,3.2282,2.37292,1.28401,0.196395,0.0827651,0.11363017559051514,,0.256651,0.29513,0.690293,4.51365,177.40000000000006,3.347169811320756,185.0,3.490566037735849,0.530271,0.438477,4,642.52001953125,/players/luis-severino/15890/stats/pitching,P,10.0,10.0,AL,Luis Severino,622663,15890,15890
NYY,Yankees,2,2,0,34,1,7,,34.0,142,26,15,14,4,45,16,,2,3.71383,1.24697,11.9311,4.31102,2.76759,1.1092,0.314995,0.113815,0.20117966085672379,,0.208802,0.289238,0.74313,3.64659,203.80000000000004,5.994117647058824,187.0,5.5,0.530062,0.43252,0,999.0,/players/fernando-cruz/7048/stats/pitching,P,9.0,9.0,AL,Fernando Cruz,518585,7048,7048
NYM,Mets,3,2,6,21,0,0,,49.0,210,47,23,22,5,44,19,,2,3.99287,1.37186,8.15335,3.56976,2.28401,0.836693,0.209555,0.0917487,0.11780618876218796,,0.251605,0.306647,0.716457,3.84197,203.90000000000003,4.161224489795919,205.0,4.183673469387755,0.527976,0.39239,3,452.0400085449219,/players/david-peterson/20302/stats/pitching,P,25.0,25.0,NL,David Peterson,656849,20302,20302
MIA,Marlins,2,2,0,31,14,2,,31.0,129,26,14,13,3,33,12,,1,3.71675,1.23524,9.68753,3.47755,2.78573,0.944817,0.256887,0.0922153,0.16467176377773285,,0.225826,0.288603,0.722577,3.60976,229.9,7.416129032258064,221.0,7.129032258064516,0.527352,0.384962,0,111.45999908447266,/players/pete-fairbanks/17998/stats/pitching,P,20.0,20.0,NL,Pete Fairbanks,664126,17998,17998
COL,Rockies,3,6,13,19,0,0,,77.0,340,86,48,44,13,60,28,,3,5.21356,1.48506,7.05052,3.26782,2.15756,1.51097,0.176535,0.0818216,0.0947137102484703,,0.278268,0.309698,0.684312,4.93652,213.3000000000001,2.7701298701298716,243.0,3.155844155844156,0.52707,0.537995,5,999.0,/players/michael-lorenzen/14843/stats/pitching,P,19.0,19.0,NL,Michael Lorenzen,547179,14843,14843
SDP,Padres,2,2,7,7,0,0,,36.0,152,34,18,16,5,34,10,,2,4.00113,1.20173,8.42534,2.36153,3.56774,1.23326,0.224267,0.0628597,0.1614074632525444,,0.244231,0.289337,0.711466,3.99747,148.50000000000003,4.125000000000001,147.0,4.083333333333333,0.523657,0.37188,4,385.6199951171875,/players/joe-musgrove/12970/stats/pitching,P,29.0,29.0,NL,Joe Musgrove,605397,12970,12970
STL,Cardinals,4,4,12,27,0,0,,80.0,349,82,45,41,10,64,31,,3,4.64848,1.41105,7.18172,3.45748,2.07715,1.16545,0.182964,0.0880839,0.09487973153591156,,0.260836,0.298193,0.690899,4.46485,281.8,3.5225,296.0,3.7,0.518068,0.251673,4,733.6699829101562,/players/kyle-leahy/24763/stats/pitching,P,28.0,28.0,NL,Kyle Leahy,681517,24763,24763
TBR,Rays,2,2,0,35,16,2,,35.0,145,29,16,15,4,38,13,,1,3.80255,1.19943,9.86158,3.34315,2.94978,1.12463,0.264609,0.0897045,0.17490430921316147,,0.221502,0.279273,0.722492,3.74588,256.4,7.325714285714285,245.0,7.0,0.514475,0.442376,0,999.0,/players/bryan-baker/19804/stats/pitching,P,12.0,12.0,AL,Bryan Baker,641329,19804,19804
COL,Rockies,3,5,10,21,0,0,,64.0,278,74,42,38,12,49,16,,2,5.39383,1.41187,6.87296,2.22065,3.09502,1.68028,0.175328,0.0566485,0.11867981404066086,,0.285913,0.313122,0.660971,4.84512,177.6,2.775,208.0,3.25,0.512619,0.293202,3,999.0,/players/tanner-gordon/27669/stats/pitching,P,19.0,19.0,NL,Tanner Gordon,685299,27669,27669
TBR,Rays,2,2,0,34,1,7,,34.0,141,26,14,13,4,41,13,,2,3.50104,1.16143,10.9219,3.54141,3.08405,1.04858,0.291855,0.0946338,0.19722172617912292,,0.207966,0.27573,0.739842,3.58776,204.80000000000004,6.023529411764707,188.0,5.529411764705882,0.507122,0.617846,0,505.4800109863281,/players/garrett-cleavinger/17897/stats/pitching,P,12.0,12.0,AL,Garrett Cleavinger,664076,17897,17897
PIT,Pirates,3,3,4,31,0,3,,52.0,223,51,25,23,5,46,18,,2,3.94489,1.30988,7.88949,3.0869,2.5558,0.919287,0.205748,0.0805026,0.125245600938797,,0.249398,0.29838,0.71425,3.8297,234.70000000000002,4.513461538461539,239.0,4.596153846153846,0.504124,0.47076,2,745.6199951171875,/players/carmen-mlodzinski/27572/stats/pitching,P,27.0,27.0,NL,Carmen Mlodzinski,669387,27572,27572
STL,Cardinals,3,4,8,29,0,0,,65.0,278,65,34,31,7,49,22,,3,4.36792,1.34421,6.75205,3.08933,2.1856,1.03307,0.174587,0.0798807,0.09470663219690323,,0.255935,0.290933,0.690052,4.2543,248.89999999999998,3.8292307692307688,257.0,3.953846153846154,0.502005,0.365871,3,999.0,/players/hunter-dobbins/30240/stats/pitching,P,28.0,28.0,NL,Hunter Dobbins,690928,30240,30240
CHW,White Sox,2,2,8,8,0,0,,40.0,170,35,20,18,5,39,16,,3,4.18456,1.27919,8.81109,3.5439,2.48627,1.20977,0.229644,0.0923646,0.13727889955043793,,0.232791,0.279175,0.709265,4.27229,164.5,4.1125,156.0,3.9,0.496991,0.537921,4,245.5399932861328,/players/shane-smith/31687/stats/pitching,P,4.0,4.0,AL,Shane Smith,681343,31687,31687
LAA,Angels,3,5,13,13,0,0,,70.0,313,69,41,37,8,55,37,,4,4.83839,1.52464,7.07365,4.82846,1.46499,1.00847,0.17499,0.119448,0.05554206669330597,,0.253491,0.292018,0.687466,4.76865,227.20000000000002,3.245714285714286,233.0,3.3285714285714287,0.492165,0.386653,6,999.0,/players/walbert-urena/29357/stats/pitching,P,1.0,1.0,AL,Walbert Ureña,700712,29357,29357
SEA,Mariners,4,3,11,27,0,0,,74.0,315,71,39,36,11,62,23,,4,4.3151,1.27184,7.56154,2.82763,2.67416,1.29236,0.198314,0.0741592,0.12415450811386108,,0.247606,0.282279,0.701053,4.3971,270.70000000000005,3.6581081081081086,270.0,3.6486486486486487,0.489227,0.434375,4,733.4199829101562,/players/emerson-hancock/27470/stats/pitching,P,11.0,11.0,AL,Emerson Hancock,676106,27470,27470
PHI,Phillies,3,2,0,32,1,8,,32.0,135,27,14,13,3,35,12,,2,3.5217,1.21126,9.63144,3.33517,2.88784,0.892723,0.256066,0.0886705,0.1673959717154503,,0.224141,0.287252,0.732879,3.53874,194.7,6.084375,186.0,5.8125,0.482896,0.371152,0,999.0,/players/orion-kerkering/31776/stats/pitching,P,26.0,26.0,NL,Orion Kerkering,689147,31776,31776
BAL,Orioles,2,2,0,32,12,2,,32.0,131,26,13,12,3,36,13,,1,3.4827,1.22597,10.3863,3.65949,2.83818,0.981391,0.276812,0.0975315,0.17927999794483185,,0.219705,0.288011,0.750347,3.53241,230.29999999999998,7.1968749999999995,219.0,6.84375,0.482012,0.605679,0,85.58999633789062,/players/ryan-helsley/18138/stats/pitching,P,2.0,2.0,AL,Ryan Helsley,664854,18138,18138
NYM,Mets,3,3,6,10,0,0,,36.0,153,34,17,15,3,31,13,,2,3.82533,1.31894,7.68137,3.39433,2.263,0.837115,0.199066,0.0879658,0.11110058426856995,,0.244458,0.29207,0.720895,3.91069,158.10000000000002,4.3916666666666675,158.0,4.388888888888889,0.476728,0.442055,3,330.6300048828125,/players/clay-holmes/13649/stats/pitching,P,25.0,25.0,NL,Clay Holmes,605280,13649,13649
MIA,Marlins,3,4,10,18,0,0,,68.0,297,71,38,35,8,49,26,,3,4.64644,1.42785,6.44063,3.45075,1.86645,1.12121,0.163529,0.0876152,0.07591383904218674,,0.264117,0.295371,0.691445,4.55733,231.20000000000007,3.4000000000000012,247.0,3.6323529411764706,0.474993,0.356031,4,999.0,/players/tyler-phillips/20629/stats/pitching,P,20.0,20.0,NL,Tyler Phillips,663969,20629,20629
ATL,Braves,4,4,10,14,0,0,,60.0,261,57,32,29,7,51,28,,3,4.43422,1.42807,7.69372,4.27137,1.80123,0.993625,0.195069,0.108298,0.08677138388156891,,0.246791,0.290892,0.700849,4.38604,218.7,3.645,218.0,3.6333333333333333,0.466221,0.440029,4,999.0,/players/hurston-waldrep/33527/stats/pitching,P,16.0,16.0,NL,Hurston Waldrep,694462,33527,33527
CHC,Cubs,4,4,10,17,0,0,,65.0,279,66,35,33,10,51,20,,3,4.50599,1.3228,7.10139,2.72204,2.60885,1.39803,0.184473,0.0707104,0.11376257240772247,,0.259609,0.289694,0.704406,4.58601,219.4,3.3753846153846156,228.0,3.5076923076923077,0.463003,0.33841,4,748.260009765625,/players/colin-rea/12317/stats/pitching,P,17.0,17.0,NL,Colin Rea,607067,12317,12317
DET,Tigers,2,2,0,32,1,7,,32.0,132,28,13,12,3,33,10,,1,3.39719,1.20874,9.20854,2.95884,3.11222,0.778755,0.24612,0.0790819,0.1670379936695099,,0.232186,0.296034,0.734141,3.28414,193.09999999999997,6.034374999999999,187.0,5.84375,0.461531,0.505206,0,485.7300109863281,/players/will-vest/19769/stats/pitching,P,6.0,6.0,AL,Will Vest,676684,19769,19769
