Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
MIN,Twins,6.45717,6.7201,19.0,19.0,0.0,0.0,,107.521,441.64,93.7431,51.79,48.5,16.6901,111.296,27.5306,0.294481,4.80522,4.05967,1.12791,9.316,2.30444,4.04263,1.39704,0.252007,0.0623373,0.18966934457421303,,0.22903,0.2739,0.709687,3.98508,468.70000000000005,4.339814814814815,442.0,4.092592592592593,2.08311,1.53538,7.89301,78.52999877929688,8,AL,Joe Ryan,657746,21390,21390
HOU,Astros,6.74554,4.74265,16.0,16.0,0.0,0.0,,95.824,395.68,78.1425,40.09,37.58,10.5417,106.607,35.3057,0.303327,3.73043,3.5296,1.18392,10.0128,3.31598,3.01954,0.990098,0.269427,0.0892278,0.18019957840442657,,0.219105,0.282264,0.743321,3.56234,469.3000000000001,4.888541666666668,434.0,4.520833333333333,2.05459,2.0337,7.34943,36.189998626708984,21,AL,Hunter Brown,686613,25880,25880
TOR,Blue Jays,8.57789,7.762,24.0,24.0,0.0,0.0,,132.72,560.05,125.062,69.88,65.62,19.6707,130.889,43.3636,0.474129,3.18175,4.44982,1.26903,8.87582,2.94057,3.01841,1.33391,0.233709,0.077428,0.15628121048212051,,0.243546,0.290378,0.699468,4.1416,537.2,4.039097744360903,529.0,3.9774436090225564,2.05384,1.2817,9.66026,112.94999694824219,14,AL,Kevin Gausman,592332,14107,14107
SDP,Padres,8.43757,7.6564,23.0,23.0,0.0,0.0,,132.917,564.26,119.344,65.32,60.99,17.0969,128.317,52.0212,0.580108,5.91129,4.12972,1.28927,8.68852,3.52243,2.46662,1.15766,0.227407,0.0921937,0.13521359115839005,,0.235705,0.283301,0.719294,4.18409,547.7,4.118045112781955,526.0,3.954887218045113,2.03719,1.79084,10.0627,129.55999755859375,29,NL,Michael King,650633,19853,19853
CLE,Guardians,6.67781,6.7719,20.0,20.0,0.0,0.0,,106.44,445.74,96.3359,49.01,45.77,12.9337,107.614,34.3304,0.309471,4.97741,3.87007,1.2276,9.09927,2.90279,3.13466,1.09361,0.241428,0.0770189,0.16440899670124054,,0.237028,0.291734,0.725453,3.80062,473.9000000000001,4.470754716981133,460.0,4.339622641509434,2.02539,1.7204,7.07088,294.17999267578125,5,AL,Parker Messick,800048,31986,31986
ATL,Braves,7.71044,6.96409,21.0,21.0,0.0,0.0,,121.737,520.39,112.035,64.27,60.33,17.1259,136.107,46.9868,0.436052,4.94607,4.46019,1.30627,10.0624,3.47373,2.89671,1.26612,0.261548,0.0902915,0.17125632613897324,,0.239157,0.301083,0.701628,4.00769,518.5000000000002,4.250000000000002,505.0,4.139344262295082,1.99337,1.19693,9.41352,124.86000061035156,16,NL,Spencer Strider,675911,27498,27498
CLE,Guardians,8.00597,8.50239,24.0,24.0,0.0,0.0,,133.896,562.82,124.766,66.73,62.19,18.1682,116.28,42.6335,0.38655,5.54738,4.18018,1.25022,7.8159,2.86567,2.72743,1.2212,0.206602,0.0757498,0.13085220754146576,,0.242433,0.280379,0.70912,4.24174,530.1999999999999,3.9567164179104473,521.0,3.888059701492537,1.97004,1.64866,9.70985,188.6300048828125,5,AL,Tanner Bibee,676440,30134,30134
KCR,Royals,7.65998,8.26918,22.0,31.0,0.0,0.5267,,111.199,470.46,102.806,53.58,50.05,12.8338,108.405,39.6447,0.667288,3.96873,4.05084,1.28104,8.77388,3.20868,2.73442,1.03872,0.230424,0.0842679,0.1461562067270279,,0.24085,0.294405,0.713917,3.86238,481.7000000000001,4.339639639639641,474.0,4.27027027027027,1.95129,1.43592,5.55265,190.69000244140625,7,AL,Kris Bubic,663460,21455,21455
CHC,Cubs,8.83067,7.36274,23.0,23.0,0.0,0.0,,134.366,550.08,117.184,65.0,60.46,23.9751,132.314,33.8838,0.345002,3.50942,4.04969,1.1243,8.86256,2.26958,3.90493,1.60588,0.240536,0.061598,0.1789379045367241,,0.228569,0.261531,0.732476,4.32017,542.1999999999998,4.046268656716417,508.0,3.791044776119403,1.94424,1.85499,10.2669,157.92999267578125,17,NL,Shota Imanaga,684007,33829,33829
NYY,Yankees,7.28219,5.69416,19.0,19.0,0.0,0.0,,105.203,443.07,91.9603,49.38,46.17,12.5834,111.827,40.263,0.280797,4.48667,3.94979,1.25684,9.56664,3.44445,2.7774,1.0765,0.25239,0.0908727,0.16151753813028336,,0.23087,0.289792,0.72285,3.84025,469.90000000000003,4.475238095238096,448.0,4.266666666666667,1.90164,1.65564,7.44916,116.62999725341797,9,AL,Cam Schlittler,693645,32095,32095
